,bin,city,company,summary,title
115,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
116,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
117,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
118,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
119,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
120,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
121,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
122,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
123,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
124,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
125,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
126,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
127,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
128,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
129,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
130,70-85,"Los Angeles, CA 90017",Uptown Treehouse,The Data Scientist will lead the charge in leveraging various data-driven technologies to deliver strategic insight and intelligence that can inform current and...,Data Science Internship
131,70-85,Hawaii,State of Hawaii,"And preparing summaries or reports with data presented in graphic, narrative or numerical form. Modifying and applying research and statistical methods and...",RESEARCH STATISTICIAN IV
132,70-85,Illinois,Intel,"This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. Job Code valid only for Israel....",Data Scientist
133,70-85,"Frederick, MD 21702",Leidos,The Biological Life Sciences Operation of the Health Group is seeking a Biomedical Data Scientist who will perform as a productive member of a team that...,Biomedical Data Scientist
134,70-85,"South San Francisco, CA 94080",Incedo,Statistics and Data Science knowledge. Must needed exo in below skills and technology:....,Data Scientist
135,70-85,"Irvine, CA",BSI Financial Services,"Experience in data modeling, data mining, data cleansing, and statistical techniques. Working knowledge of data warehouse environments....",Data Scientist/Statistician
136,70-85,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
137,70-85,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
138,70-85,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
139,70-85,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
140,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
141,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
142,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
143,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
144,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
145,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
146,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
147,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
148,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
149,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
150,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
151,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
152,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
153,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
154,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
155,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
156,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
157,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
158,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
159,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
160,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
161,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
162,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
163,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
164,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
165,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
166,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
167,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
168,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
169,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
170,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
171,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
172,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
173,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
174,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
175,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
176,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
177,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
178,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
179,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
180,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
181,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
